Nom_exploitant,Raison_sociale,Description_infraction,Adresse_lieu_infraction,Type_etablissement,Information_etablissement,Date_infraction,Date_jugement,Date_publication,Amende,SOC_CD_LOI,SOC_NOM_LOI,SOC_CD_REGL,SOC_NOM_REGL,SOC_CD_ARTCL_INFRC,SOC_NOM_ARTCL_INFRC,SOC_CD_POURS,SOC_DESC_POURS,SOC_CD_REGRP_TYP_ENTT,SOC_DESC_REGRP_TYP_ENTT,Latitude,Longitude
9350-9503 QUEBEC INC.,LA DIPERIE,"LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.","62 RUE SAINTE-CATHERINE EST MONTREAL, (QC) H2X1K6",BAR LAITIER,,05/23/2025 00:00:00,02/16/2026 00:00:00,02/16/2026 00:00:00,1000 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,1.4.1               ,TEMPERATURE DE CONSERVATION,3,VILLE DE MONTREAL,21,RESTAURATION,45.5105003,-73.5630991
9440-5594 QUEBEC INC.,RESTAURANT RUBIS ROUGE,LE PRODUIT PERISSABLE VENDU CHAUD OU SERVI CHAUD AU CONSOMMATEUR DOIT ETRE GARDE A UNE TEMPERATURE INTERNE D'AU MOINS 60C JUSQU'A SA LIVRAISON.,"1008 RUE CLARK 208 MONTREAL, (QC) H2Z1J9",RESTAURANT,,07/10/2025 00:00:00,07/30/2025 00:00:00,07/30/2025 00:00:00,1000 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,1.4.1               ,TEMPERATURE DE CONSERVATION,3,VILLE DE MONTREAL,21,RESTAURATION,45.5073148,-73.559836
UNIBURGER INC.,UNIBURGER,"LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.","2001 RUE SAINT-DENIS MONTREAL, (QC) H2X3K8",RESTAURANT,,07/16/2025 00:00:00,03/04/2026 00:00:00,03/04/2026 00:00:00,1000 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,1.4.1               ,TEMPERATURE DE CONSERVATION,3,VILLE DE MONTREAL,21,RESTAURATION,45.5161433,-73.565434
9176-9125 QUEBEC INC.,SUSHI SAMA (VIEUX-PORT),"LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.","210 RUE NOTRE-DAME OUEST MONTREAL, (QC) H2Y1T3",RESTAURANT,"L'exploitant, qui opérait à la date de l'infraction, a cessé ses opérations",12/18/2024 00:00:00,09/25/2025 00:00:00,09/25/2025 00:00:00,1000 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,1.4.1               ,TEMPERATURE DE CONSERVATION,3,VILLE DE MONTREAL,21,RESTAURATION,45.5036603,-73.5573779
9511-8352 QUEBEC INC.,PATISSERIE BON BON,LE PRODUIT PERISSABLE VENDU CHAUD OU SERVI CHAUD AU CONSOMMATEUR DOIT ETRE GARDE A UNE TEMPERATURE INTERNE D'AU MOINS 60C JUSQU'A SA LIVRAISON.,"150 RUE SAINTE-CATHERINE OUEST MONTREAL, (QC) H5B1B8",PATISSERIE,,01/29/2025 00:00:00,03/06/2025 00:00:00,03/06/2025 00:00:00,1000 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,1.4.1               ,TEMPERATURE DE CONSERVATION,3,VILLE DE MONTREAL,20,DÉTAIL,45.5074565,-73.5644254
PLACEMENTS LA POPESSA INC.,LA POPESSA,"LES PERSONNES AFFECTEES A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT DOIVENT: PORTER UN BONNET OU UNE RESILLE PROPRE QUI RECOUVRE ENTIEREMENT LES CHEVEUX: PORTER UN COUVRE-BARBE PROPRE QUI RECOUVRE ENTIEREMENT LA BARBE.","115 RUE SAINT-ANTOINE OUEST MONTREAL, (QC) H2Z1X8",RESTAURANT,"L'exploitant, qui opérait à la date de l'infraction, a cessé ses opérations",03/10/2025 00:00:00,11/24/2025 00:00:00,11/24/2025 00:00:00,500 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,2.2.3               ,PERSONNEL,3,VILLE DE MONTREAL,21,RESTAURATION,45.5049106,-73.5601731
9393-3976 QUEBEC INC.,PIZZERIA MORSO MTL CENTRAL,"LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.","30 RUE SAINTE-CATHERINE OUEST K18 MONTREAL, (QC) H2X3V4",RESTAURANT,,04/08/2025 00:00:00,02/19/2026 00:00:00,02/19/2026 00:00:00,1000 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,1.4.1               ,TEMPERATURE DE CONSERVATION,3,VILLE DE MONTREAL,21,RESTAURATION,45.5092923,-73.563239
9251-7002 QUEBEC INC.,KABABGY,"LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.","895 RUE DE LA GAUCHETIERE OUEST 90 MONTREAL, (QC) H3B4G1",RESTAURANT SERVICE RAPIDE,,06/03/2025 00:00:00,07/18/2025 00:00:00,07/18/2025 00:00:00,1000 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,1.4.1               ,TEMPERATURE DE CONSERVATION,3,VILLE DE MONTREAL,21,RESTAURATION,45.499934,-73.5663844
9470-6603 QUEBEC INC.,GATEAU BRISE,"LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.","1860 BOULEVARD DE MAISONNEUVE OUEST MONTREAL, (QC) H3H1J8",RESTAURANT,,06/17/2025 00:00:00,07/14/2025 00:00:00,07/14/2025 00:00:00,1000 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,1.4.1               ,TEMPERATURE DE CONSERVATION,3,VILLE DE MONTREAL,21,RESTAURATION,45.4936426,-73.5812492
9303-7471 QUEBEC INC.,RESTAURANT SENCHA,"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.","5602 BOULEVARD SAINT-LAURENT MONTREAL, (QC) H2T1S8",RESTAURANT,,05/29/2025 00:00:00,03/04/2026 00:00:00,03/04/2026 00:00:00,1000 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,2.1.2               ,,3,VILLE DE MONTREAL,21,RESTAURATION,45.5260717,-73.599787
